"BehaviorSpace results (NetLogo 6.2.0)"
"firefightersRTM.nlogo"
"experiment"
"09/07/2022 19:11:50:871 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","29","0","29"
"[run number]","nb-firefighters","propforest","communication?","nb-groups","[step]","count patches with [state = ""burned""]"
"196","12","10","true","2","11","1"
"154","12","10","true","2","873","1"
"198","12","10","true","2","22","1"
"201","12","10","true","3","6","1"
"199","12","10","true","2","95","1"
"202","12","10","true","3","69","1"
"186","12","10","true","2","278","1"
"177","12","10","true","2","479","1"
"205","12","10","true","3","77","1"
"204","12","10","true","3","31","2"
"208","12","10","true","3","9","2"
"206","12","10","true","3","104","1"
"209","12","10","true","3","29","2"
"211","12","10","true","3","6","1"
"207","12","10","true","3","126","1"
"212","12","10","true","3","49","1"
"210","12","10","true","3","85","1"
"213","12","10","true","3","13","1"
"214","12","10","true","3","17","1"
"145","12","10","true","2","1407","1"
"203","12","10","true","3","307","1"
"215","12","10","true","3","66","1"
"218","12","10","true","3","49","1"
"217","12","10","true","3","62","1"
"220","12","10","true","3","34","4"
"221","12","10","true","3","23","1"
"200","12","10","true","2","467","2"
"223","12","10","true","3","28","1"
"226","12","10","true","3","4","1"
"225","12","10","true","3","9","4"
"227","12","10","true","3","32","2"
"229","12","10","true","3","6","1"
"228","12","10","true","3","39","2"
"230","12","10","true","3","14","2"
"176","12","10","true","2","937","1"
"231","12","10","true","3","65","1"
"232","12","10","true","3","44","1"
"235","12","10","true","3","2","1"
"233","12","10","true","3","24","1"
"237","12","10","true","3","6","3"
"216","12","10","true","3","264","1"
"239","12","10","true","3","20","1"
"219","12","10","true","3","300","2"
"241","12","10","true","3","3","1"
"192","12","10","true","2","767","1"
"236","12","10","true","3","89","1"
"224","12","10","true","3","225","2"
"238","12","10","true","3","79","1"
"243","12","10","true","3","12","1"
"222","12","10","true","3","292","1"
"247","12","10","true","3","6","2"
"245","12","10","true","3","9","3"
"246","12","10","true","3","19","1"
"251","12","10","true","3","3","1"
"234","12","10","true","3","166","1"
"249","12","10","true","3","49","1"
"252","12","10","true","3","55","1"
"253","12","10","true","3","60","1"
"244","12","10","true","3","172","1"
"254","12","10","true","3","96","2"
"248","12","10","true","3","181","1"
"250","12","10","true","3","166","1"
"259","12","10","true","3","3","1"
"260","12","10","true","3","15","1"
"261","12","10","true","3","4","2"
"258","12","10","true","3","30","4"
"263","12","10","true","3","21","1"
"262","12","10","true","3","83","2"
"265","12","10","true","3","67","1"
"264","12","10","true","3","95","1"
"255","12","10","true","3","230","1"
"267","12","10","true","3","32","3"
"266","12","10","true","3","69","5"
"271","12","10","true","3","3","1"
"242","12","10","true","3","439","2"
"272","12","10","true","3","89","2"
"256","12","10","true","3","326","1"
"273","12","10","true","3","47","2"
"240","12","10","true","3","576","1"
"268","12","10","true","3","210","1"
"270","12","10","true","3","166","4"
"257","12","10","true","3","350","1"
"269","12","10","true","3","110","1"
"279","12","10","true","3","12","3"
"281","12","10","true","3","9","1"
"282","12","10","true","3","2","1"
"283","12","10","true","3","9","1"
"277","12","10","true","3","29","1"
"276","12","10","true","3","86","1"
"284","12","10","true","3","45","3"
"285","12","10","true","3","46","2"
"287","12","10","true","3","27","1"
"289","12","10","true","3","23","1"
"290","12","10","true","3","44","2"
"275","12","10","true","3","196","1"
"280","12","10","true","3","147","1"
"293","12","10","true","3","12","1"
"291","12","10","true","3","94","2"
"295","12","10","true","3","72","2"
"278","12","10","true","3","289","4"
"288","12","10","true","3","211","1"
"296","12","10","true","3","87","1"
"298","12","10","true","3","12","1"
"300","12","10","true","3","16","3"
"292","12","10","true","3","202","1"
"301","12","10","true","4","67","1"
"303","12","10","true","4","14","1"
"299","12","10","true","3","112","1"
"305","12","10","true","4","38","1"
"307","12","10","true","4","6","1"
"308","12","10","true","4","25","1"
"309","12","10","true","4","3","2"
"306","12","10","true","4","85","1"
"297","12","10","true","3","236","1"
"302","12","10","true","4","186","1"
"294","12","10","true","3","359","3"
"304","12","10","true","4","158","1"
"314","12","10","true","4","24","1"
"316","12","10","true","4","6","1"
"274","12","10","true","3","631","1"
"313","12","10","true","4","60","1"
"317","12","10","true","4","12","1"
"318","12","10","true","4","9","4"
"310","12","10","true","4","118","3"
"311","12","10","true","4","157","1"
"286","12","10","true","3","626","1"
"312","12","10","true","4","157","2"
"324","12","10","true","4","8","1"
"319","12","10","true","4","108","1"
"321","12","10","true","4","100","1"
"326","12","10","true","4","22","1"
"320","12","10","true","4","112","3"
"323","12","10","true","4","59","2"
"315","12","10","true","4","197","1"
"330","12","10","true","4","59","1"
"329","12","10","true","4","71","1"
"332","12","10","true","4","22","1"
"334","12","10","true","4","8","1"
"333","12","10","true","4","54","1"
"336","12","10","true","4","28","3"
"338","12","10","true","4","9","3"
"327","12","10","true","4","141","3"
"340","12","10","true","4","9","1"
"339","12","10","true","4","64","1"
"342","12","10","true","4","9","5"
"325","12","10","true","4","242","1"
"328","12","10","true","4","226","1"
"344","12","10","true","4","47","2"
"335","12","10","true","4","220","2"
